row_id,butterfly_taxon,host_taxon_name,host_taxon_rank,current_confidence,curated_confidence,curation_action,evidence_basis,source_checked,citation_for_ui,notes_for_web_app,source_refs_current,doi_or_url_current,occurrence_count_in_web_app,use_for_default_download_current,host_plant_family,host_plant_genus,host_plant_species
1,Aeria elara,Apocynaceae,family,medium,low,downgrade,Family-level host association is too broad for a precise confidence label or GBIF occurrence overlay.,Beccaloni et al. 2008 catalogue row; family-level fallback.,Beccaloni et al. 2008,"Use only as fallback text, not as a host taxon overlay or species-level ecological record.","Brazil: [Go Drummond & Brown, 1987; (ssp. elara) MT, Brown, p.c., 1996 (ssp. elara); Rd, Brown, p.c., 1996 (ssp. elara)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Apocynaceae,,
2,Aeria elara,Prestonia coalita,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 3: Aeria elara on Prestonia coalita, Uberlandia, MG, Brazil.","Brazil: [MG, Brown & Freitas, 1994]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,746,true,Apocynaceae,Prestonia,Prestonia coalita
3,Aeria eurimedia,Apocynaceae,family,medium,low,downgrade,Family-level host association is too broad for a precise confidence label or GBIF occurrence overlay.,Beccaloni et al. 2008 catalogue row; family-level fallback.,Beccaloni et al. 2008,"Use only as fallback text, not as a host taxon overlay or species-level ecological record.","Costa Rica: [Dyer, 1995 (ssp. agna)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Apocynaceae,,
4,Aeria eurimedia,Prestonia,genus,medium,high,taxon_level_reaudit,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [Young, 1978a (ssp. agna)]; Venezuela: [Brown & Freitas, 1994]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,0,true,Apocynaceae,Prestonia,
5,Aeria eurimedia,Mesechites trifida,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: authoritative_checked_compilation,Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Trinidad: [Drummond & Brown, 1987 (ssp. agna); Young, 1978a (ssp. agna)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,1119,true,Apocynaceae,Mesechites,Mesechites trifida
6,Aeria eurimedia,Prestonia nr portobellensis,species,medium,medium,reaudit_upgrade,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.",Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked. | Codex source-PDF re-audit 2026-05-21: imprecise_but_supported,Beccaloni et al. 2008,"Trusted source supports host use, but plant name is not exact enough for high-confidence species-level display.","Costa Rica: [Haber, p.c., 1998 (Ovip.) (ssp. agna)]; El Salvador: [Muyshondt, p.c., 1999]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,true,Apocynaceae,Prestonia,Prestonia nr portobellensis
7,Aeria eurimedia,Prestonia portobellensis,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Costa Rica: [DeVries, 1987 (ssp. agna); Drummond & Brown, 1987 (ssp. agna)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,541,true,Apocynaceae,Prestonia,Prestonia portobellensis
8,Aeria olena,Prestonia acutifolia,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 3: Aeria olena compared on P. acutifolia, Martinho Prado, SP.","Brazil: [SP, Brown & Freitas, 1994]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,117,true,Apocynaceae,Prestonia,Prestonia acutifolia
9,Aeria olena,Prestonia coalita,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 3: Aeria olena on Prestonia coalita, Campinas, SP.","Brazil: [Brown, 1992a; south-eastern, Young, 1978a; SP, Brown & Freitas, 1994]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,746,true,Apocynaceae,Prestonia,Prestonia coalita
10,Aeria olena,Prestonia dusenii,species,medium,high,reaudit_upgrade,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Drummond & Brown 1987 is a checked authoritative larval food plant compilation; table notes older doubtful records were excluded and tentative plant IDs marked.,"Brazil: [SP, Drummond & Brown, 1987]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,26,true,Apocynaceae,Prestonia,Prestonia dusenii
11,Athesis clearista,Capsicum rhomboideum,species,medium,high,upgrade,Direct juvenile-stage/life-history evidence checked in Brown & Freitas 1994 figure legend.,"Brown & Freitas 1994, Juvenile stages of Ithomiinae, Fig. 3-7 and data acquisition notes.",Brown & Freitas 1994,"Fig. 3: Athesis clearista on Capsicum rhomboideum, Caraballeda.","Venezuela: [Drummond & Brown, 1987 (ssp. clearista)]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,783,true,Solanaceae,Capsicum,Capsicum rhomboideum
12,Callithomia alexirrhoe,Solanum,genus,low,low,keep,Beccaloni catalogue marks this as dubious; not suitable for confident UI display or default overlay.,Beccaloni et al. 2008 catalogue row; embedded primary citation not independently checked.,Beccaloni et al. 2008,Keep as exploratory only; requires primary-source verification.,"Neotropics: [Lamas, 1985]",https://www.cabidigitallibrary.org/doi/full/10.5555/20093181648,0,false,Solanaceae,Solanum,
13,Callithomia hezia,Lycianthes radiata,species,medium,high,keep,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Beccaloni et al. 2008, Catalogue of the hostplants of the Neotropical butterflies; primary citations embedded in source_refs",Beccaloni et al. 2008,Medium by default for catalogue-backed plausible rows; do not imply local host use from GBIF occurrence points.,"Colombia: [Brown, 1989 (Ovip.)]",https://www.researchgate.net/profile/George-Beccaloni-2/publication/262099000_Catalogue_of_the_Hostplants_of_the_Neotropical_Butterflies_Catalogo_de_las_Plantas_Huesped_de_las_Mariposas_Neotropicales/links/5cc0d98a92851c8d2202f3f1/Catalogue-of-the-Hostplants-of-the-Neotropical-Butterflies-Catalogo-de-las-Plantas-Huesped-de-las-Mariposas-Neotropicales.pdf,324,true,Solanaceae,Lycianthes,Lycianthes radiata
