harness,title,session_id,started_at_utc,ended_at_utc,turns,source_host,path
codex-ithomiini,Ithomiini Maps Manuscript,019dd1d3-7a6f-7040-90e4-a3544df3eee2,2026-04-28T02:03:25.374000Z,2026-07-07T13:34:59.512000Z,305,franz-laptop,docs/chat-transcripts/codex-ithomiini/ithomiini-maps-manuscript-019dd1d3.md
codex-ithomiini,Summarize Ithomiini Maps chats,019f3cdd-579a-71f2-b769-642131541739,2026-07-07T13:56:08.204000Z,2026-07-23T03:03:56.231000Z,53,franz-laptop,docs/chat-transcripts/codex-ithomiini/summarize-ithomiini-maps-chats-019f3cdd.md
claude-code-ithomiini,Review Ithomiini manuscript and figures,1d1ffc5c-06df-4e05-8ee1-a5578d64de6e,2026-07-08T20:14:59.163000Z,2026-07-08T20:17:29.490000Z,2,franz-laptop,docs/chat-transcripts/claude-code-ithomiini/review-ithomiini-manuscript-and-figures-1d1ffc5c.md
t3-code-wings,Check BioCLIP2.5 head training data,1c126826-5851-45c8-856b-692c67ecea99,2026-07-11T13:21:09.435000Z,2026-07-11T18:34:37.020000Z,13,local,docs/chat-transcripts/t3-code-wings/check-bioclip2-5-head-training-data-1c126826.md
t3-code-wings,Wings Segmentation Training Plan,c239721d-c809-4c76-8c87-f0ab7966eb6e,2026-07-21T03:15:15.947000Z,2026-07-27T02:05:39.403000Z,34,local,docs/chat-transcripts/t3-code-wings/wings-segmentation-training-plan-c239721d.md
codex-ithomiini,Review worktrees and gitignore files,019f8cf0-b901-7a10-a571-276a7e1b0566,2026-07-23T03:06:56.278000Z,2026-07-23T03:12:54.923000Z,2,franz-laptop,docs/chat-transcripts/codex-ithomiini/review-worktrees-and-gitignore-files-019f8cf0.md
t3-code-ithomiini,Search Ithomiini Maps Chat History,eb7fad5d-f881-4c16-9bff-237d0c08bf13,2026-08-01T15:54:45.841000Z,2026-08-01T16:11:42.415000Z,2,franz-laptop,docs/chat-transcripts/t3-code-ithomiini/search-ithomiini-maps-chat-history-eb7fad5d.md
t3-code-wings,Audit Subspecies Image Datasets,5d7e3dd7-734a-454a-8eb6-b3603c96b06a,2026-08-25T20:27:36.705000Z,2026-08-31T17:10:11.199000Z,23,local,docs/chat-transcripts/t3-code-wings/audit-subspecies-image-datasets-5d7e3dd7.md
t3-code-wings,Audit Chat Orchestration Drift,6b5e302a-fb11-4001-8ce6-7f4a2102eeb6,2026-08-31T13:26:29.168000Z,2026-09-02T14:28:05.262000Z,8,local,docs/chat-transcripts/t3-code-wings/audit-chat-orchestration-drift-6b5e302a.md
t3-code-wings,Update Wings Classifier Context,195a1f49-edc8-4471-962a-d6b7edc78954,2026-09-02T16:32:09.435000Z,2026-09-02T17:46:35.624000Z,3,local,docs/chat-transcripts/t3-code-wings/update-wings-classifier-context-195a1f49.md
t3-code-wings,Update Wings Classifier Context,1afb5240-f3b6-46cf-9a1d-811cc5d74254,2026-09-05T02:03:17.243000Z,2026-09-07T02:58:19.401000Z,63,local,docs/chat-transcripts/t3-code-wings/update-wings-classifier-context-1afb5240.md
t3-code-wings,Plan Overnight Butterfly Classifier Work,a81155d1-6487-49b7-9a7d-a23337ac0e64,2026-09-07T03:42:39.834000Z,2026-09-08T19:34:24.401000Z,23,local,docs/chat-transcripts/t3-code-wings/plan-overnight-butterfly-classifier-work-a81155d1.md
t3-code-wings,Reconcile Gallery Taxonomy Corrections,9692496f-43f2-41a2-a9b2-7037ddf23ad0,2026-09-07T15:16:17.468000Z,2026-09-12T21:41:45.844000Z,211,local,docs/chat-transcripts/t3-code-wings/reconcile-gallery-taxonomy-corrections-9692496f.md
